key,bookKey,date,chapter,chapterIndex,text,cfi,range,notes,percentage,color,tag,highlightType,bookName,bookAuthor
1758597776034,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,PROLOGUE,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":0,""end"":8},""backward"":false}",PROLOGUE,0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758597787291,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,Rock Bottom,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":9,""end"":20},""backward"":false}",Rock Bottom,0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758597814404,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,"obscure ","{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":109,""end"":117},""backward"":false}","In the desperate summer of 1932, Washington, D.C., resembled the besieged capital of an obscure European state.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608708299,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,"penniless","{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":169,""end"":178},""backward"":false}","Since May some twenty-five thousand penniless World War veterans had been encamped with their wives and children in District parks, dumps, abandoned warehouses, and empty stores.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608715575,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,encamped ,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":207,""end"":216},""backward"":false}","Since May some twenty-five thousand penniless World War veterans had been encamped with their wives and children in District parks, dumps, abandoned warehouses, and empty stores.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608722768,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,"dumps","{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":265,""end"":270},""backward"":false}","Since May some twenty-five thousand penniless World War veterans had been encamped with their wives and children in District parks, dumps, abandoned warehouses, and empty stores.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608766763,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,drilled,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":320,""end"":327},""backward"":false}","The men drilled, sang war songs, and once, led by a Medal of Honor winner and watched by a hundred thousand silent Washingtonians, they marched up Pennsylvania Avenue bearing American flags of faded cotton.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608783331,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,a Medal of Honor winner,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":362,""end"":385},""backward"":false}","The men drilled, sang war songs, and once, led by a Medal of Honor winner and watched by a hundred thousand silent Washingtonians, they marched up Pennsylvania Avenue bearing American flags of faded cotton.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608797941,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,faded ,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":505,""end"":511},""backward"":false}","The men drilled, sang war songs, and once, led by a Medal of Honor winner and watched by a hundred thousand silent Washingtonians, they marched up Pennsylvania Avenue bearing American flags of faded cotton.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608803056,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,cotton,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":511,""end"":517},""backward"":false}","The men drilled, sang war songs, and once, led by a Medal of Honor winner and watched by a hundred thousand silent Washingtonians, they marched up Pennsylvania Avenue bearing American flags of faded cotton.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608813969,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,brooded,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":562,""end"":569},""backward"":false}","Most of the time, however, they waited and brooded.",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
1758608859916,1738120368127,2025-09-23,PROLOGUE: Rock Bottom,6,relief,"{""text"":"""",""chapterTitle"":""PROLOGUE: Rock Bottom"",""chapterDocIndex"":""6"",""chapterHref"":""OEBPS/prl.htm"",""count"":""78"",""page"":"""",""percentage"":""0.0028703562305161566""}","{""characterRange"":{""start"":617,""end"":623},""backward"":false}","The vets had come to ask their government for relief from the Great Depression, then approaching the end of its third year;",0.0028703562305161566,#FBF1D1,,background,"The Glory and the Dream: A Narrative History of America, 1932–1972","William Manchester"
